ssn,name,phone,cfphone,str,city,cc
EVKGZ32,Alsuwaiyel,29311,0.92,YkJavfw47,Oakland,22976
IEHJG68,Holdridge,37926,0.38,MyYwxap63,Amsterdam,25477
YRHEN93,Kesler,13641,0.63,PtHshrb50,Texarkana,2854
OAFJC17,Miake,1833,0.19,VwBtbgh86,Prague,28965
TGRXM89,Langacker,16789,0.39,RmSjyya52,Cedar,33645
ECODN13,Isshiki,34659,0.92,PnUpaud20,Frankfurt,17809
XEIKQ97,Fontan,27637,0.80,CyEydga51,Zurich,27799
OJMOV45,Nourani,36383,0.31,ShLfbie89,Caracas,19633
IGNNY34,Metallidou,26052,0.75,QnIujua70,Rome,30598
ISSEP26,Groger,15229,0.24,ThAxuzc84,Fortaleza,2660
IAUPO65,Dullman,17557,0.39,MlQbiju06,East,27791
YZLZO62,Cassels,5598,0.95,DsKtctw69,Merida,30542
CNSPL62,Ahanger,23808,0.28,DyRhdcf10,Budapest,27321
UYTGD33,Noerr,17981,0.28,AqZhbiz23,Vail,3059
LSCHJ99,Sutherland,15971,0.91,KaJksbz74,Orlando,21254
MLYSI77,Lovell,7751,0.42,CiIwiey62,Zurich,17520
CYORT08,Miksch,28223,0.20,DoVyhhw60,Los,32340
HBTBL90,Mikulecky,18139,0.44,FpRlwui18,Greenville,5430
BXYKM67,Abdulazizoglu,24543,0.97,VhWlvqu74,Appleton,32543
UYVPA36,Reipa,29442,0.59,JoKifnl03,Abidjan,23548
QGFTV19,Ioroi,27079,0.90,PfOwnvq05,Boise,38982
NWVUR17,Bird,15673,0.22,XkPjjnr29,Johannesburg,14209
ZNZIH31,Billingsley,15316,0.44,UuPlyhu04,Moscow,5271
NULQK69,Matteis,26086,0.72,TtXufvd84,Little,24825
BKBEU30,McSkimin,5279,0.58,LwKmrrw14,Nashville,9568
MMRGX40,Margenstern,17263,0.95,GrRxrby19,Atlanta,156
TMNYZ91,Iseli,34066,0.34,OxHijjg15,Milwaukee,29979
QGJYG61,Basarab,9036,0.13,OwAzeth14,Leon,33477
GEYEP52,Mukund,12202,0.31,ZvWsfaw45,Porto,9657
KFTDJ68,Koitz,19923,0.32,KeJmzfi69,Orange,3382
VINXQ81,Pietsch,15808,0.32,ScGltjw98,Anchorage,3818
LWIWO10,Pezzoli,11901,0.27,QhLnncq65,Dayton,9053
GFDWS05,Wittich,9374,0.65,HbWqmiu91,Missoula,18642
RFLAA54,Kading,14103,0.25,VqUujrp49,Elko,21519
HWOBQ68,Grand,12089,0.47,XyXysvj18,Lexington,25870
VXETL94,Finamore,16911,0.76,OqLbfkf50,Port,10883
FMVIP48,Wossner,3226,0.53,TbVlkaz41,Salvador,9135
DHXXH17,Gorski,33765,0.67,GnOzdog24,Tapachula,30282
EUUST15,Brimkov,12770,0.34,YdBwdco84,Des,23275
BDGPL88,Lambe,15935,0.57,OrQrmfm93,Detroit,9016
NRLUI51,Kratochvil,31300,0.20,PyMunzg66,Bermuda,5776
WDBQL55,Cakic,13723,0.96,HgDoxqp98,Killeen,29242
QPXFD27,Bierman,8913,0.94,OpFkadq87,Helena,13273
XQXMH44,Roytenberg,38946,0.20,ByJetmu89,Indianapolis,33764
QXYLV87,Coorg,20061,0.74,JlRertz24,Los,22426
KRXCB27,Botman,31211,0.30,JtElkwm73,Budapest,28068
XJETC89,Cambanis,28962,0.97,JeBojvv05,Pasco,36400
OZZUT23,Parnes,38157,0.21,NrPezra85,Port,24749
NHMAV55,Coray,33482,0.50,BnMnkdi02,Las,1439
FLSYB08,Swab,33386,0.95,OvWrasu89,Richmond,16883
CUWBP05,Aschim,39610,0.12,ScRmnqf49,Brunswick,20398
DDGNT09,Missinai,11978,0.92,PbHbbxx54,Gainesville,10957
OCOBE55,Philippsen,14001,0.16,DpJzmeg31,Austin,30968
OODNR15,Halgason,1360,0.79,GyTenjs29,Cleveland,25162
BJXPY60,Kwiatkowski,30112,0.16,GnIpqkv72,Munich,29442
ECLUL43,Boguraev,21725,0.54,WhLokmz16,Honolulu,39504
USVHQ14,Benedek,8867,0.56,ChPqgnz07,Orlando,22254
KOJDS60,Gecseg,7847,0.91,BtMjezp70,Moscow,24618
JRXEB48,Trivett,16107,0.27,MoRpind12,Anchorage,4161
YRUJN67,Quinlan,2233,0.60,VqIyhhu22,Veracruz,28467
ZJHZY13,Kaji,38305,0.13,CnZvghg94,Knoxville,31188
YFKDZ39,Hazony,11187,0.74,KkUdvzm14,Vancouver,21870
ZMMYZ92,Vince,35989,0.39,GvJkudc38,Pocatello,27556
UTRES32,Wiederhold,10160,0.15,WoEbnfz84,Key,16042
TBMCE93,Mascle,9148,0.13,PoKydct90,Pensacola,39193
YAVUS58,McQuire,32141,0.34,QeOtsdl71,Ontario,16350
RAVJO32,Konrad,24903,0.37,ReAaiqk67,Calgary,28802
JSNAK89,Gebele,7347,0.31,UgDzald00,Orlando,4288
DFKZF36,Synnes,35141,0.15,GvYbsjr55,Cairo,24279
NOLTT28,Versino,5966,0.78,NwXxvxa29,Paris,1055
AIQEM83,Soreide,7359,0.29,OnHzcgu21,Shannon,35927
NZTXQ30,OCallaghan,39305,0.93,UcAbxbe14,Mumbai,38520
GSZOM12,Usoh,34811,0.88,McXexyp75,Colorado,15353
ONWWK93,Perkins,38701,0.22,ErZsiqe87,Lubbock,29103
LTTQE66,Weusten,19194,0.19,EaTtmir75,Sacramento,28666
AHFCE97,Selvestrel,9256,0.21,YgMcnhg49,Nagoya,18486
WCWTP90,Flasterstein,13333,0.42,WqFkbjp19,Monroe,6252
EUROK08,Daya,34461,0.67,OoMintt75,Santiago,38433
DKJEL36,America,39767,0.88,PqGehlh22,Guangzhou,25278
AYBHM98,Altis,18847,0.57,NhEfavw85,Prague,31636
PRWFW59,Zazanis,14404,0.42,RxRgvys05,Dublin,29176
JYDTP70,Lakshminarasimhan,14190,0.20,OeAfmyj05,Sao,10473
FINXV41,Buchanan,32915,0.22,HdCtncp86,Missoula,22022
EFBHJ29,Dubhashi,30407,0.23,UzJhqqb27,Fresno,6876
ESUYX98,Chomsky,32210,0.84,TxHfevu37,Providenciales,1937
WIBLG89,Oliva,27180,0.72,OpJrykm35,Jacksonville,28133
CGYJY01,Pelayo,17745,0.42,IoToqal20,Villahermosa,7168
SKCMF74,Leonidas,26553,0.43,VwEymln80,Porto,813
IZHLX56,Zultner,27436,0.85,FtHhwgm39,Nashville,36426
HPYSG63,Wogulis,29664,0.80,RvJyecj91,Pocatello,32212
GOPGO41,Venkataraman,20335,0.54,NmUarqz93,Lorient,2076
IORRN69,Risk,35040,0.48,PsEaaer87,El,1037
WEORQ77,Urso,16816,0.67,JyQciad54,Fortaleza,665
WHQVZ31,Jameel,2822,0.49,IlSpgbh05,Valdosta,13237
KPMOB60,Mecking,30074,0.11,GwXzsjp09,Kalamazoo,2395
LWKNC87,Schmedding,6948,0.54,QkZihba55,Casper,1409
SPVQQ90,Tavangarian,9010,0.20,ZrBqfde70,Billings,13612
QTWWK38,Normann,37540,0.17,IfKdmtn05,Torreon,6078
WBRVY37,Dix,6965,0.28,VvYfjti54,Worcester,2493
VYLFP00,Edler,36368,0.83,MmKmqwu93,New,22747
LXBVY42,Rothwell,23082,0.68,LoTibxz29,Merida,36702
ISUYW94,Mallgren,36491,0.49,QyOjuzp51,Minneapolis,26488
LUURF14,Carla,39450,0.85,QnAjxqv90,Wichita,15352
POUTW56,Demizu,26359,0.26,XpZegep96,Philadelphia,18078
OBXLV30,Baade,10104,0.13,FuSyxqe02,Roanoke,32203
TYYDW99,Capaccioli,16647,0.99,MnRjkbw92,Las,12220
RDUCJ66,Luga,38241,0.37,RwRcrug87,Paris,32445
HSIBS10,Sherrell,38181,0.51,YuCjslx53,Ouagadougou,30670
UDNTR84,Philipose,27400,0.87,JqLsodq44,Daytona,28203
OERTN60,Dehkordi,12074,0.49,ZsRmqkj91,Madrid,17571
BKBSV32,Weinert,34922,0.54,GdUcnag32,Florence,11332
HVPTD86,Chandra,37100,0.66,TtEsrpt41,Elko,5012
BBZQB48,Dullman,27908,0.17,FoAqlqo34,Johannesburg,560
LQFLW90,Smolensky,19665,0.39,QxTtcpv63,Portland,27259
DHHQC70,Tsukamoto,30413,0.19,EwHqawg72,Kiev,11169
WZEWP08,Albicki,1706,0.51,GsHvlhk19,Albany,34666
RKEYX00,Bol,13438,0.38,HnUmuso96,Shannon,16237
UZSFE08,Peroz,4012,0.60,VzTylou35,Austin,26969
HQOLY59,Schrufer,6626,0.27,OdAxjya11,Omaha,30937
DSKZE88,Stolboushkin,14508,0.48,DbPsozq39,Cleveland,8435
AEAIG96,Mausberg,30003,0.24,CkAdmsk07,Geneva,7742
KTVWC32,Fraysseix,19626,0.69,DpQhmsa48,Warsaw,10702
QYJZU07,Ternovskaia,30591,0.91,UcXinjc37,Gulfport,2184
SIGKG16,Veijalainen,35522,0.92,MpMlojx47,Zurich,28495
HCDIN99,Kirkgoze,28264,0.92,LkPhjzk95,Honolulu,3385
OTLBR22,Keam,2034,0.78,JhYdvbb44,Orlando,8958
FFNTN57,Saxton,20923,0.70,GmDeuyy11,South,3316
GTZCC58,Broker,14293,0.87,TvKsdex67,Nice,36389
RRJKJ92,Okurowski,26221,0.65,IwAzdho83,Abu,286
PVTLG83,Skeen,16087,0.24,AkAsepc73,Dublin,37772
YZIVO08,Leverett,21352,0.20,DpSptir68,Albany,38489
XLQKQ62,Hainaut,37338,0.85,RxShqez33,New,28279
XNQXU19,Guid,8866,0.14,GpDorym24,Leon,33089
AYNBO81,Nyrup,211,0.24,ItZyfkm41,Helena,19728
KXFDF28,Laver,9898,0.64,DsIoind53,Worcester,16620
FWHSL11,Genssler,23731,0.61,WlVjdwk37,Florence,8832
AUEMN88,Koschke,39095,0.39,NcPmhhm47,Gainesville,727
QPWMT40,Flann,10511,0.99,IeZiqmw50,Rochester,18981
NRDAS38,Evens,35489,0.67,VsXgiju73,Sarasota,21221
MSXGK87,Poss,27848,0.42,CgCtzza34,Alexandria,5190
OYRJU56,Tasiemski,35027,0.86,ItLuluz87,Moscow,29522
PQYCG30,Hoidn,34258,0.95,SzVvkpa82,Lyon,34985
TBTFN03,Pollacia,29336,0.76,TwZjwwn17,Melbourne,33087
RPMFB86,Baldan,21883,0.39,LsPqyfk73,Brussels,9514
WMKOD47,Orozco,32326,0.81,UuZajcj27,Albuquerque,27373
SVLUE14,Bitter,14834,0.92,SeSsbno68,Detroit,26411
QINUC43,Lund,18542,0.19,TiUuodq63,Shreveport,32569
QPVJP45,Gust,38519,0.55,VjEquwk59,Bologna,26001
BALVN14,Jesse,38811,0.74,LfOeigv47,Mulhouse,15946
BQSHB86,Almaini,8489,0.13,ZwTtyxn37,Pocatello,32421
IBXOB17,Lenart,2036,0.66,SuStndj62,Meridian,38221
HFFFO17,Lecce,15584,0.77,KmNufta01,Newburgh,34941
HZKYZ57,Solovay,28778,0.30,IvIskkl37,George,17665
RXHPM28,Gerards,33428,0.47,QoNsjua71,Macon,28999
FNYEL89,Shippy,23114,0.35,TgPxjsa94,Texarkana,29146
HWLXN41,Tretkoff,33680,0.37,LmUdfut87,Chattanooga,31417
FNSQA15,Highnam,29586,0.19,GbHmrrr83,Sarasota,20911
CTHKI25,Ismaeel,28038,0.51,KzAbeab28,Lexington,20465
QKBCB66,Vorobyov,23050,0.98,MrCpktb01,White,39860
URHKN51,Forchert,37329,0.80,RuCfwkq51,Tapachula,25550
KXPEU76,Wrzyszcz,30961,0.25,ClCcezt54,Aruba,8177
UPNEF56,Coury,27645,0.39,GcJigow19,Budapest,22075
XNGOB26,Minio,18651,0.78,NgFdljc85,Kahului,38405
QOGRE80,Ashman,36607,0.74,EpNhjzz20,Berlin,37421
LPOPL58,Stephenson,30036,0.97,HeCkhzi80,Cancun,10242
YZDNW04,Schellhorn,18869,0.52,PhGinkc11,Louisville,11052
XZQCU29,Gentile,15890,0.36,DzRjgbp58,Myrtle,12540
LCRJK21,Erie,3050,0.32,MtJhdke52,Brunswick,21062
WGTQL00,Sherertz,26463,0.99,OxTmusk07,Huntsville,793
QMZFT09,McMains,20593,0.80,TjDxfhi42,Mobile,18809
MYORK96,Leder,12457,0.55,ZuAbfry92,Pasco,30402
XBIOL89,Rathi,9974,0.43,SiZdkeu48,Charlottesville,34526
REAFK88,Donini,34205,0.30,XoJbjak54,Shannon,33810
JFYPF16,Heiserman,23018,0.41,AbBafoa74,Allentown,35096
RINDB86,Raveh,11680,0.90,TxFtptv31,Oakland,20725
CPHLD75,Yagati,4129,0.57,PaYvgrj83,Cedar,36852
WNTIZ30,Frezza,19863,0.73,ZcQvqhv65,Spokane,22062
UNHDJ57,Ikehata,23142,0.41,KdFrkcw35,Stuttgart,37242
ROPCQ38,Hassan,32909,0.64,VgOokgf53,Gothenburg,34357
KICPH09,Marathe,39123,0.90,OaXqfpt59,West,25718
GLFGN45,Hokimoto,3929,0.62,NnDvqrq53,Missoula,21639
EFJMJ40,Spehner,6176,0.48,HhRwote35,Bologna,24009
TGLXE89,Guardabassi,11452,0.25,EsEbeto68,Richmond,25739
OUPXG72,Court,23360,0.84,XiAflap79,Sarasota,34427
HXXUR18,Lores,942,0.52,KyUnvfm73,Kahului,19739
ETNQI45,Uzun,18445,0.65,JuNmvwq52,Macon,15810
NPRVW86,Liebowitz,10574,0.11,HuKvvqt49,Dusseldorf,32364
UXDCS07,Giachin,37572,0.30,MoAiyyf05,Turin,12773
HIXTX60,Schwenkreis,25027,0.95,ZkSkxqf58,Las,20833
HDIHF26,Kogel,18939,0.17,SgSgxhv44,Johannesburg,16960
ZFHWA21,Wissmann,1776,0.60,XiOeact58,Little,27074
CUVJH23,Laguitton,38413,0.60,YxZcetj01,Denver,13423
EHFDN49,Fahnrich,29330,0.71,YzEkons66,Green,29122
NRNVX48,Bachus,38502,0.17,MnSgugf97,Amsterdam,23037
IEIWD78,DeMori,34023,0.36,HoTsqkt66,Lisbon,13285
EVKVB60,Kalafatis,27718,0.45,UfYvngm45,Salt,6791
CPNFB82,Karg,15241,0.50,OkMkgvd93,Newburgh,32897
QOGWZ50,Chauche,8941,0.82,NiGcsnp46,Columbia,20051
DEQKW29,Luesebrink,4613,0.37,UkGvjds89,Valdosta,34666
MCRRA79,Shimshoni,20036,0.67,OoDrztb02,Albuquerque,13660
KKYTF24,Junet,32881,0.98,CxArekv44,Cleveland,4973
OVCYU35,Ranft,29138,0.47,WqHlciy27,Greenville,3475
MJNLW39,Willhoft,28364,0.76,AjUvyon45,Detroit,31509
HGYVN82,Bondorf,8824,0.65,VxPupwp85,Cedar,2137
FPTXI44,Carstensen,37598,0.48,WwBeohr60,Rochester,34949
NGHPX16,Janetzko,31915,0.56,JqCzhpr68,Montgomery,4325
RXHAZ55,Dage,14716,0.67,WgEghci55,Boston,38563
EQQKA46,Burgert,30739,0.14,ZiVcpvx76,Cody,23240
WOOMR73,Abeta,25571,0.88,LjHjjrq79,Lisbon,3874
ALUGU96,Viles,23684,0.42,PpUtjlv34,Twin,37970
QMPEF90,Kindlund,16578,0.38,VtQlgbf13,Manchester,6289
YSSXM68,Riddall,2398,0.46,PnAivlx21,Santiago,2440
JTTGO20,Raver,19397,0.88,EcBssxh82,SF,6514
BMIDJ04,Krychniak,1779,0.66,FxLgqsi21,Boston,38039
XXWOY44,Cleve,21477,0.21,LdGawxc48,Kahului,22516
EEQGJ62,Rosendahl,26497,0.79,NwYixqg06,Tapachula,16962
IYCGY15,Moursund,16210,0.23,KbYuedp99,Huntington,35218
YHINI97,Eklundh,8575,0.50,ShEqotn49,Guangzhou,39445
LCNRR44,Tardiff,6205,0.65,PwOduew78,Torreon,5209
UYRVM32,Boucheron,15367,0.64,LgVhwrc60,Moscow,11595
KEWNR13,Rufino,16331,0.81,WjQygqk90,Macon,10216
KYUNF20,Rosiles,36213,0.23,CyAeoaw51,Rio,34911
OUEUT91,Schank,9041,0.28,JnEtylo33,Brunswick,36758
KLACE26,Gradek,15863,0.80,CgRywpv77,Cleveland,9055
XNPVA02,Matzel,22487,0.57,SjAttku52,Alexandria,36153
EJSVM21,Aimeur,21229,0.59,JcJvmts60,Evansville,36240
DBAOA76,Derby,7037,0.45,UuMxpid97,Milwaukee,27987
MDIUG59,Wrzyszcz,649,0.57,UaTpcqe16,Raleigh,212
XWXHC87,Hilgefort,21442,0.98,CyAlqgs69,Lexington,28512
IZDUC42,Sawamiphakdi,7978,0.69,DiCkmuq65,Bermuda,19888
PCJWO95,Gramp,34201,0.87,ErDdfjo05,Glasgow,32402
UFBBW23,Laplante,11194,0.68,HhItoxg87,Torreon,614
EUZYT09,Quadeer,36646,0.18,AuQjflp63,Denver,15786
LMGWO18,Sartori,12423,0.77,WvGbcmc36,Tampa,36711
EMEYX85,Dougan,4236,0.13,LnRqknf34,Guaymas,22870
VWHJX57,Babel,13524,0.18,JyHkxjx22,Madrid,36439
PTOSQ36,Whitelock,34355,0.31,GbMlsla60,Port,264
SQNSU15,Skogmar,21676,0.47,ZdLhage52,Port,35435
TTLFA99,Miranker,19086,0.17,WaJpuse24,George,35248
LEHMJ78,Whitney,2479,0.75,CyKhmem99,Savannah,19575
ULGSR20,Yamnitsky,23244,0.33,NhPxnqb35,Santiago,33721
BMDEF80,Hoogerwoord,27045,0.77,GzVghlk90,Nagoya,23084
FBZFO50,Nakatani,14735,0.66,QkDkhlu12,West,30318
XPYVL71,Ierardi,16133,0.33,ToGmybl30,Memphis,3303
VXAPL90,Kaes,16932,0.12,TvUgchk06,Ouagadougou,36103
XKSVW12,Arruda,27030,0.18,UiVrctb33,Gothenburg,23062
KRJBP93,Sabbadin,21799,0.23,PdOrlvr61,Anchorage,31625
XWIUC92,Aimeur,1457,0.90,TqSohdq79,Albuquerque,30259
LMNMZ06,Baatz,650,0.42,MqEarae24,Gunnison,35592
QHBBG48,Tait,39508,0.59,YoShghf27,Manchester,1459
XUFPB95,Kartha,20063,0.44,IjHtzjv79,Baltimore,795
OAOMZ84,Redys,22799,0.83,KrCobut82,Santiago,17927
DOIXJ79,Bennis,23958,0.94,IeDfaao52,Reno,39886
CBHUL04,Alshuth,35036,0.77,KeXjqdc10,New,25964
VFPPJ34,Akaho,30555,0.23,UoHfymu61,Barbados,3409
UHFXO69,Hojati,8165,0.72,UkAlsij02,Philadelphia,12139
SIYVW68,Ruemmler,6346,0.95,SlDphbw42,Chicago,38568
NGCAS83,Ponthieu,22766,0.22,OnWsjni84,Denver,3647
OAPOD00,Alexanyan,31047,0.27,RdQguyy65,La,31200
HRHVX54,Minoura,34991,0.56,IdSqkdv29,East,29323
DEMWY24,Schroer,24016,0.76,BjEvzju59,Caracas,32372
JKZZX05,Yaru,31951,0.34,TiBkais55,Helena,3171
NKNFC57,Lettang,11420,0.36,TaUvpev68,Guangzhou,28376
OROVU59,Don,2776,0.81,UuRxumw68,Abidjan,28574
ZZRMU20,MacNaughton,14989,0.89,CzAeytz61,Kansas,17462
QLTRP00,Vutukuru,4885,0.65,DaDmntg36,Brussels,18035
JHOCT93,Omicini,13037,0.56,RpTxuwp93,Bozeman,10856
RJYDT50,Sallaberry,7332,0.89,JlXcepl86,Sun,22722
ULUZZ57,Stouraitis,22140,0.40,GcFclrr77,Bucharest,22175
LCXYY15,Lenkov,19889,0.63,JmGxqnw48,Zihuatenejo,28397
RMAZG58,Kabatianski,36376,0.30,VdYtewh80,Providence,608
PCGOS59,Byrne,32184,0.93,ZtZgjgy66,Orange,23597
ODMIR46,Puterman,2942,0.51,EuNlovg61,Tapachula,25277
GNORH85,Hollenbeck,24576,0.49,HmIlrfs26,Lafayette,8280
AOYRI28,Seghrouchni,7382,0.23,NrPvffb80,Barbados,38732
ZRERT16,Bracher,27759,0.47,ItXgyuw98,Gainesville,22256
IZQQU51,Levenshtein,17947,0.80,JiGfwwd94,East,20838
FWWLS07,Schreckenghost,30741,0.41,BfItxzk05,Acapulco,37721
RHNCX08,Skinner,21125,0.23,SgZdynz02,Savannah,15185
XYIQE14,Phuc,39202,0.27,OjAtphs14,Budapest,26576
CVIGP91,Lahire,37339,0.91,HeAelfy68,Porto,34125
WZRFV18,Solovay,35713,0.24,UmVtacf60,Columbia,8625
MTOUP07,Warschat,4990,0.99,KxEpfvq29,Geneva,5883
PDYTM50,Brazile,26518,0.23,OqGzlrh60,Charlottesville,6846
BKQME76,Ogielski,16507,0.58,ChBhmsv38,Mumbai,33641
PHCKX99,Strothotte,21102,0.48,NhYkrex71,Torreon,21320
BUFZV54,Serpell,14511,0.66,IcKvsju72,Cairo,23192
EKCGJ64,Delcoigne,10355,0.91,BbQkqff92,Tokyo,39767
LRIME57,Dahm,26201,0.30,FcAeewf83,Little,27254
MUWCE51,Guangyi,6355,0.87,HxKsogc01,Gulfport,21302
ZECTP22,Tsiligaridis,15362,0.39,SqOolxa82,Greensboro,3970
OTKMR96,Heinen,38209,0.42,CnAngec77,Dusseldorf,25722
ZJYYP87,Ghafoor,2607,0.49,KnQxfau68,Brussels,10716
QRAPC68,Cools,7308,0.62,XsDdkgf57,Florence,31832
RFYSR53,Jespers,25163,0.50,DpFfvwc30,Wilmington,24994
JCFTR92,Daykin,8228,0.84,LwWuwtr86,Fort,34586
PSFPH38,Bressan,31210,0.36,XrVgfac79,Savannah,5105
JXGHN61,Drettakis,26091,0.91,OeXcvmm99,Roanoke,39992
MTYJW34,Murtagh,17593,0.68,QxQpttw91,Tallahassee,6110
OUSXA23,Lauck,26786,0.59,UeUrfot21,Lansing,33169
ZXLYM56,Provine,34375,0.51,KnDplyu92,Madison,5081
DJJTU75,Hoepner,10900,0.83,TcUhoqt71,La,25816
PLLMB45,Roisin,33688,0.81,MtXmlyh19,Dusseldorf,5042
MNMLH05,Stanion,10506,0.13,NjRbefz67,Toulouse,22956
OOALI13,Morreau,9807,0.93,GrZzplm76,Nice,20100
NDGPK12,Bittar,24321,0.96,HyPhlhw85,Harrisburg,36392
KOCVH58,Tanzariello,10833,0.76,CeIvywy52,Chicago,22144
LZXSS00,Biefeld,39608,0.46,FuTajfk03,Pittsburgh,33449
PVIJB15,Bredenkamp,20236,0.25,TcSjqgf21,Albany,22607
CWZYU75,Kropp,5904,0.65,WcCvdxz07,Veracruz,33125
VUHAW80,Promfett,33331,0.78,YoQsbbs36,Guadalajara,27927
OQIJK90,Taubman,31507,0.77,VxXeour68,Abidjan,38383
VWLVZ81,Puhalskii,23765,0.42,LjObxmm54,Bozeman,3731
HXWNT76,Hofri,9420,0.97,IiRvhud79,Cancun,33503
RCCOS32,Ianni,34124,0.14,WiEzffj80,Berlin,24760
GCDAX41,Daszczuk,16074,0.14,DaKoebv25,Valdosta,12563
ZWSIQ68,Berglas,28867,0.19,PfCwikl00,Toronto,26816
RZTMJ27,Kaack,22140,0.93,GpBmzxg29,Philadelphia,3459
OJHRH57,Schober,5743,0.64,HfEgeef65,Albany,6302
BQPAO74,Creecy,3958,0.80,BcGcgfc58,Newcastle,165
RKIRO55,Romero,28684,0.28,LcIuqnp54,Johannesburg,7684
VDEHD75,Corsini,17391,0.24,XsUncpe01,Panama,9952
WMTAL34,Templeton,30691,0.58,HkOaytr12,Cape,14823
HMXNT04,Forys,35213,0.35,PbOwwqt66,Orlando,14953
YIWSL48,Katker,14782,0.25,QfPegel41,Richmond,22015
QMVXU73,Pons,24539,0.36,MaVzizk71,Louisville,32016
JOLAP52,Cusick,21247,0.89,WvWxmrl24,Mobile,24036
TGIWV48,Higuchi,5986,0.39,LuJfgbg51,Rome,34699
SFCNQ12,Delcourt,32584,0.14,CdSrkwk04,Jacksonville,16199
YAJNJ13,Kreische,14675,0.30,ZlUetzi23,Monterrey,15864
VEWBQ65,Fortenbach,16596,0.79,WmXmoel53,Berlin,6831
